,game_fr,game_en,platform,website_rating,public_rating,publishor/developer,release,type,classification,url,description
6331,Hannah Montana : En Tournée Mondiale,Hannah Montana,PS2,12/20,11.1/20,Disney Interactive,19 Juin 2008,Rythme Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/jeu-67704/," Si vous croyez encore que l'univers de Disney se résume aux dessins animés de Mickey, il est grand temps de vous réveiller. En effet, c'est grâce à ses séries que la firme cartonne aujourd'hui auprès des pré-ados. Mélange de rythme et de bonne humeur, Hannah Montana est un bon exemple de ce type de succès. Par la magie du jeu vidéo, les fans de la pétillante Miley Cyrus peuvent désormais se trémousser sur les musiques du feuilleton."
6332,Hannah Montana : En Tournée Mondiale,Hannah Montana,Wii,12/20,11.1/20,Disney Interactive,19 Juin 2008,Rythme Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/jeu-67704/," Si vous croyez encore que l'univers de Disney se résume aux dessins animés de Mickey, il est grand temps de vous réveiller. En effet c'est grâce à ses séries que la firme cartonne aujourd'hui auprès des pré-ados. Mélange de rythme et de bonne humeur, Hannah Montana est un bon exemple de ce type de succès. Par la magie de la Wii, les fans de la pétillante Miley Cyrus peuvent désormais se trémousser sur les musiques du feuilleton."
6333,Hannah Montana : Music Jam,Hannah Montana: Music Jam,DS,11/20,17/20,Disney Interactive,15 Mai 2008,Aventure Rythme,+3 ans,http://www.jeuxvideo.com/jeux/nintendo-ds/00020558-hannah-montana-music-jam.htm," Entre Hannah Montana et Hight School Musical on ne peut pas dire que les productions Disney du moment manquent de rythme ou de succès. C'est donc sans surprise que l'on retrouve des jeux vidéo parmi les produits dérivés de ces franchises. Après une première adaptation catastrophique, Hannah Montana revoit sa copie et nous revient sur DS dans un épisode plus abouti."
6334,Happy Action Theater,Double Fine Happy Action Theater,360,14/20,17.3/20,Double Fine Productions,01 Février 2012,Party-Game,+3 ans,http://www.jeuxvideo.com/jeux/xbox-360/00042624-happy-action-theater.htm," Double Fine Productions, le studio de Tim Shaeffer déjà à l'origine de titres comme Stacking, Costume Quest ou 5, Rue Sésame sur le Xbox Live, continue sur sa lancée en visant encore une fois un plus jeune public. Happy Action Theater plaira-t-il à nos chères têtes blondes ?"
6335,Happy Birthdays,Birthdays: The Beginning,PC PS4,12/20,13.3/20,Arc System Works,09 Mai 2017,Simulation,Unknown,http://www.jeuxvideo.com/jeux/jeu-530324/,"Considéré comme le père du genre, Peter Molyneux a donné naissance à Populous qui posa les bases du God Game. Comme son nom l’indique, le principe de ce titre et de tous ses héritiers est d’incarner le petit Dieu d’un univers fantaisiste qu’il faudra aider à prospérer. Black & White, Dungeon Keeper, Creatures, Doshin the Giant, Spore, Viva Piñata, de nombreux titres ont ainsi repris ce principe et c’est aujourd’hui au tour d’Arc System Works de livrer sa version avec Birthdays the Beginning. Ce studio Japonais connu pour son travail sur Blazblue ou Guilty Gear a ainsi délaissé les jeux de combat, accompagné par le papa d’Harvest Moon, Yasuhiro Wada – pari réussi ?"
6336,Happy Feet,Happy Feet,Wii,10/20,13/20,A2M Midway,24 Novembre 2006,Aventure Rythme Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64878/," Dernier film d'animation des studios Warner Bros, Happy Feet arrive à point nommé pour réchauffer les salles obscures cet hiver, et s'immisce jusque dans nos foyers par le biais d'un jeu vidéo. Confié aux développeurs de A2M, déjà connus pour leurs adaptations de licences cinématographiques telles que Monster House ou Chicken Little, le soft s'annonce malheureusement sans surprise, y compris sur Wii."
6337,Happy Feet,Happy Feet,PC,10/20,--/20,A2M Midway,24 Novembre 2006,Aventure Rythme Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64878/," Dernier film d'animation des studios Warner Bros, Happy Feet arrive à point nommé pour réchauffer les salles obscures cet hiver, et s'immisce jusque dans nos foyers par le biais d'un jeu vidéo. Confié aux développeurs de A2M, déjà connus pour leurs adaptations de licences cinématographiques telles que Monster House ou Chicken Little, le soft s'annonce malheureusement sans surprise."
6338,Happy Feet,Happy Feet,PS2,10/20,--/20,A2M Midway,24 Novembre 2006,Aventure Rythme Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64878/," Dernier film d'animation des studios Warner Bros, Happy Feet arrive à point nommé pour réchauffer les salles obscures cet hiver, et s'immisce jusque dans nos foyers par le biais d'un jeu vidéo. Confié aux développeurs de A2M, déjà connus pour leurs adaptations de licences cinématographiques telles que Monster House ou Chicken Little, le soft s'annonce malheureusement sans surprise."
6339,Happy Feet,Happy Feet,DS,4/20,13/20,A2M Midway,24 Novembre 2006,Aventure Rythme Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64878/," Enorme succès au box-office américain depuis près de trois semaines, Happy Feet est un film d'animation qui narre les aventures de Mumble, un manchot pas ordinaire, rejeté par les siens car il ne sait pas chanter, alors qu'il se montre particulièrement habile dans l'art périlleux des claquettes. Tout un programme. Alors que le film sort mercredi en France, le jeu est lui, déjà disponible à la vente et vous propose de vivre une version contemporaine de l'histoire du vilain petit canard."
6340,Happy Feet,Happy Feet,GBA,9/20,13/20,A2M Midway,24 Novembre 2006,Aventure Rythme Course,+3 ans,http://www.jeuxvideo.com/jeux/jeu-64878/," Enorme succès au box-office américain depuis près de trois semaines, Happy Feet est un film d'animation qui narre les aventures de Mumble, un manchot pas ordinaire, rejeté par les siens car il ne sait pas chanter, alors qu'il se montre particulièrement habile dans l'art périlleux des claquettes. Tout un programme. Alors que le film sort mercredi en France, le jeu est lui, déjà disponible à la vente et vous propose de vivre une version contemporaine de l'histoire du vilain petit canard."
6341,Happy Feet 2,Happy Feet 2,3DS,10/20,16/20,KMM Games Warner Interactive Wayforward Technologies,01 Décembre 2011,Réflexion Rythme Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-76948/," Après le succès d'Happy Feet, quoi de plus logique que de retrouver à nouveau Mumble et tous ses amis dans les salles obscures du monde entier ? Bien évidemment, la sortie de la nouvelle production de Warner Bros est accompagnée d'une adaptation vidéoludique qui arrive à point nommé. Cela signifie-t-il pour autant que celle-ci a été réalisée à la va-vite ?"
6342,Happy Feet 2,Happy Feet 2,DS,10/20,--/20,KMM Games Warner Interactive Wayforward Technologies,01 Décembre 2011,Réflexion Rythme Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-76948/," Après le succès d'Happy Feet, quoi de plus logique que de retrouver à nouveau Mumble et tous ses amis dans les salles obscures du monde entier ? Bien évidemment, la sortie de la nouvelle production de Warner Bros est accompagnée d'une adaptation vidéoludique qui arrive à point nommé. Cela signifie-t-il pour autant que celle-ci a été réalisée à la va-vite ?"
6343,Happy Feet 2,Happy Feet 2,Wii,12/20,--/20,KMM Games Warner Interactive Wayforward Technologies,01 Décembre 2011,Réflexion Rythme Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-76948/," Après le succès d'Happy Feet, quoi de plus logique que de retrouver à nouveau Mumble et tous ses amis dans les salles obscures du monde entier ? Bien évidemment, la sortie de la nouvelle production de Warner Bros est accompagnée d'une adaptation vidéoludique qui arrive à point nommé. Cela signifie-t-il pour autant que celle-ci a été réalisée à la va-vite ?"
6344,Happy Feet 2,Happy Feet 2,PS3,12/20,--/20,KMM Games Warner Interactive Wayforward Technologies,01 Décembre 2011,Réflexion Rythme Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-76948/," Après le succès d'Happy Feet, quoi de plus logique que de retrouver à nouveau Mumble et tous ses amis dans les salles obscures du monde entier ? Bien évidemment, la sortie de la nouvelle production de Warner Bros est accompagnée d'une adaptation vidéoludique qui arrive à point nommé. Cela signifie-t-il pour autant que celle-ci a été réalisée à la va-vite ?"
6345,Happy Feet 2,Happy Feet 2,360,12/20,--/20,KMM Games Warner Interactive Wayforward Technologies,01 Décembre 2011,Réflexion Rythme Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-76948/," Après le succès d'Happy Feet, quoi de plus logique que de retrouver à nouveau Mumble et tous ses amis dans les salles obscures du monde entier ? Bien évidemment, la sortie de la nouvelle production de Warner Bros est accompagnée d'une adaptation vidéoludique qui arrive à point nommé. Cela signifie-t-il pour autant que celle-ci a été réalisée à la va-vite ?"
6346,Happy Wars,Happy Wars,360,15/20,18/20,Microsoft Toylogic,12 Octobre 2012,Action,+7 ans,http://www.jeuxvideo.com/jeux/jeu-79068/," Edité par Microsoft et développé par Toylogicn, Happy Wars se présente sous la forme d’un jeu gratuit exclusif sur Xbox 360. Mélange entre un MOBA et un tower defense, le jeu vous entraînera dans des parties multijoueurs où deux équipes, de 15 à 30 joueurs, s’affrontent pour capturer le château adverse tout en défendant le leur."
6347,Harbinger,Harbinger,PC,10/20,15/20,Silverback Entertainment Dreamcatcher,17 Octobre 2003,Action RPG,+12 ans,http://www.jeuxvideo.com/jeux/pc/00010675-harbinger.htm," En gestation depuis quelques temps chez Silverback Entertainment, Harbinger sort de l'oeuf et déboule sur PC pour tenter de séduire les amateurs de softs à la Diablo. Mais comparer cet ersatz de hack'n slash à la référence du genre serait une injure, car comme nous l'avions pressenti en découvrant ce titre sur la version preview, Harbinger est encore loin de prétendre mériter l'attention des inconditionnels du genre."
6348,Hard Corps : Uprising,Hard Corps: Uprising,PS3,16/20,17.9/20,Arc System Works Konami,16 Février 2011,Action,+3 ans,http://www.jeuxvideo.com/jeux/jeu-75216/," Si les shoot'em up se portent encore relativement bien, on ne peut pas en dire autant pour tous les sous-genres de cette grande famille. C'est ainsi que les amateurs de challenge peuvent regretter à juste titre que les run and gun se fassent de plus en plus rares. Tout n'est pas perdu, Konami a décidé de redonner une seconde jeunesse à la série des Contra en nous proposant Hard Corps : Uprising sur PSN."
6349,Hard Corps : Uprising,Hard Corps: Uprising,360,16/20,17.9/20,Arc System Works Konami,16 Février 2011,Action,+3 ans,http://www.jeuxvideo.com/jeux/jeu-75216/," Si les shoot'em up se portent encore relativement bien, on ne peut pas en dire autant pour tous les sous-genres de cette grande famille. C'est ainsi que les amateurs de challenge peuvent regretter à juste titre que les run and gun se fassent de plus en plus rares. Tout n'est pas perdu, Konami a décidé de redonner une seconde jeunesse à la série des Contra en nous proposant Hard Corps : Uprising sur le Xbox Live Arcade."
6350,Hard Hitter 2,Hard Hitter Tennis,PS2,12/20,18/20,Midas Interactive Magical Company,Juin 2003,Sport,+3 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00011241-hard-hitter-2.htm," Si vous suivez assidûment l'actualité tennistique sur PS2, sans doute vous êtes-vous déjà aperçu que Hard Hitter 2 est la suite du jeu sorti chez nous sous le nom de Arnaud Clément Tennis. Un an plus tard, Midas nous sert un soft qui corrige la plupart des défauts de son prédécesseur pour en apporter d'autres, et qui ne parvient toujours pas à faire bonne impression."
6351,Hard Reset,Hard Reset,PC,12/20,13.4/20,Flying Wild Hog,13 Septembre 2011,FPS,Unknown,http://www.jeuxvideo.com/jeux/pc/00041470-hard-reset.htm," Annoncé en catimini et lancé encore plus discrètement, Hard Reset nous vient d'un jeune studio composé de vieux briscards aux CV bien remplis. On est d'autant plus étonné de voir ces gens expérimentés commettre une foule de bévues de débutants."
6352,Hard Reset Redux,Hard Reset: Redux,PC PS4 ONE,12/20,17/20,Gambitious Digital Entertainment,03 Juin 2016,FPS,+18 ans,http://www.jeuxvideo.com/jeux/jeu-457117/,"L’art de recycler s’est emparé du marché du jeu vidéo depuis plus d’une décennie. Un phénomène omniprésent à l’origine des vagues de Remaster, Remake, Reboot et autres Definitive Edition accostant régulièrement sur nos rives. Tandis que Techland et Deep Silver se débattent face à des hordes de zombies, le studio Flying Wild Hog ressort du placard son FPS Hard Reset (lancé en 2011 sur PC uniquement) dans une version Redux. Univers cyberpunk et gunfights nerveux font toujours la sève de ce jeu de tir délaissant le récit au profit de l’action pure et dure. Et cette version peaufinée propulse sa révolution mécanique sur consoles de salon également."
6353,Hard Rock Casino,Hard Rock Casino,PSP,11/20,9/20,Mindscape FarSight Studios Hexacto Crave Entertainment,06 Février 2003,Autres,+3 ans,http://www.jeuxvideo.com/jeux/jeu-62038/," Si vous êtes un joueur invétéré et que vous avez du mal à contrôler votre passion, Hard Rock Casino peut représenter un bon substitut. Il est quand même moins risqué (et presque aussi amusant) de flamber dans des casinos virtuels. D'autant que, en dépit d'une réalisation médiocre, ce titre propose un contenu vraiment très complet."
6354,Hard Rock Casino,Hard Rock Casino,PS2,11/20,--/20,Mindscape FarSight Studios Hexacto Crave Entertainment,06 Février 2003,Autres,+3 ans,http://www.jeuxvideo.com/jeux/jeu-62038/," Si vous êtes un joueur invétéré et que vous avez du mal à contrôler votre passion, Hard Rock Casino peut représenter un bon substitut. Il est quand même moins risqué (et presque aussi amusant) de flamber dans des casinos virtuels. D'autant que, en dépit d'une réalisation médiocre, ce titre propose un contenu vraiment très complet."
6355,Hard Rock Casino,Hard Rock Casino,PC,12/20,9/20,Mindscape FarSight Studios Hexacto Crave Entertainment,06 Février 2003,Autres,+3 ans,http://www.jeuxvideo.com/jeux/jeu-62038/," Si vous êtes un peu à court d'argent en ce début d'été et que vous désirez malgré tout endosser le costume de flambeur, Mindscape résoudra ce petit problème via son Hard Rock Casino qui vous invite, au travers de plusieurs époques, à vous amuser avec 8 jeux en provenance directe des casinos avec un grand C. Faites vos jeux, rien ne va plus mesdames et messieurs."
6356,Hard To Be A God,Hard to Be a God,PC,8/20,13.4/20,Burut CT Akella,18 Janvier 2008,Action RPG,+12 ans,http://www.jeuxvideo.com/jeux/pc/00016140-hard-to-be-a-god.htm," Quand Burut, responsable des médiocres FPS Kreed et UberSoldier, décide de se lancer dans le jeu de rôle, on peut craindre le pire. En effet, si le studio n'est pas capable de créer un shoot couloir correct, on voit mal comment il parviendrait à pondre un RPG, genre beaucoup plus complexe à mettre en oeuvre. Mais trêve de préjugés, voyons comment les développeurs s'en sont sortis."
6357,Hard Truck Tycoon,Hard Truck Tycoon,PC,4/20,4/20,Buka Entertainment G5 Entertainment,15 Septembre 2006,Gestion,+3 ans,http://www.jeuxvideo.com/jeux/pc/00014465-hard-truck-tycoon.htm," Hard Truck Tycoon vous propose de devenir directeur d'une société de transports et d'accumuler un maximum d'argent grâce aux livraisons effectuées par vos poids lourds. Hélas, ce jeu de gestion montre vite ses limites et il n'intéressera pour ainsi dire personne."
6358,Hard West,Hard West,PC,17/20,15.9/20,CreativeForge Games Gambitious Digital Entertainment CreativeForge,18 Novembre 2015,Tactique,Unknown,http://www.jeuxvideo.com/jeux/jeu-436817/,"Il faut avouer que les jeux de tactique stratégie au tour par tour sont légion depuis des années et que l'on fait très souvent allusion à Xcom, un maître en la matière trop souvent copié et jamais égalé. Hard West vous propose avec son aspect tactique de revenir au temps du Far West, dans une version d'un western chaotique et terrifiant, un véritable coup de poker pour les développeurs polonais de chez CreativeForge."
6359,Hardware Arena Online,Hardware: Online Arena,PS2,6/20,14.6/20,Sony,05 Novembre 2003,Action,+7 ans,http://www.jeuxvideo.com/jeux/playstation-2-ps2/00011928-hardware-arena-online.htm," Après le bien moyen Twisted Metal Black Online sorti il y a peu, on nous livre une autre fournée de tôle et de canons avec Hardware Arena. Des véhicules blindés qui se mettent sur la tronche en ligne, ca peut être sympa. Mais entre la probabilité et la réalité, il y a un énorme fossé rempli de crocodiles et de maladies vénériennes que les développeurs ont eu peur de franchir."
6360,Harlem Globetrotters : World Tour,Harlem Globetrotters: World Tour,DS,1/20,2.9/20,Destination Software Full Fat KOCH Media,06 Juillet 2007,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-65916/," Le basket étant peu ou pas représenté sur Nintendo DS, Harlem Globetrotters World Tour a de quoi faire lever le sourcil de l'amateur qui sait à quel point cette formation légendaire constituée de joueurs, à mi-chemin entre l'extraterrestre défiant les lois de la gravité et le basketteur, a fait les beaux jours du basket spectacle. Dommage que le jeu de Zoo Digital ne leur rende pas une seule seconde l'hommage qui leur est dû."
6361,Harley-Davidson : Race Across America,Harley-Davidson: Race Across America,PC,5/20,7.5/20,GT Interactive Wizardworks,Octobre 1999,Course,Unknown,http://www.jeuxvideo.com/jeux/pc/00003006-harley-davidson-race-across-america.htm," GT Interactive vous propose dans un splendide coffret aux couleurs de Harley Davidson, de vous prendre pour un Johnny en herbe et de parcourir les Etats-Unis au guidon des plus belles américains. Récit d'une arnaque organisée sous licence."
6362,Harley-Davidson : Race to the Rally,Harley-Davidson: Race to the Rally,PC,7/20,10/20,Activision Magic Wand,22 Mars 2007,Course,+12 ans,http://www.jeuxvideo.com/jeux/jeu-64999/,Quoi de plus excitant que d'observer le monde des mortels en étant juché sur une superbe Harley-Davidson consciencieusement et régulièrement bichonnée ? Harley Davidson : Race To The Rally se propose de vous faire goûter une part de ce rêve en vous envoyant écumer les interminables routes du pays d'origine de la bécane de légende.
6363,Harley-Davidson : Race to the Rally,Harley-Davidson: Race to the Rally,PS2,7/20,--/20,Activision Magic Wand,22 Mars 2007,Course,+12 ans,http://www.jeuxvideo.com/jeux/jeu-64999/,Quoi de plus excitant que d'observer le monde des mortels en étant juché sur une superbe Harley-Davidson consciencieusement et régulièrement bichonnée ? Harley Davidson : Race To The Rally se propose de vous faire goûter une part de ce rêve en vous envoyant écumer les interminables routes du pays d'origine de la bécane de légende.
6364,HarmoKnight,HarmoKnight,3DS,14/20,16.8/20,Game Freak Nintendo,28 Mars 2013,Rythme Plate-Forme,+7 ans,http://www.jeuxvideo.com/jeux/nintendo-3ds/00046306-harmoknight.htm," Connu pour son travail sur la série Pokémon, le studio Game Freak nous propose aujourd'hui un étonnant mélange de rythme et de plates-formes avec HarmoKnight. Commercialisé au prix de 14,99 euros sur l'eShop, ce dernier mérite-t-il le détour ? Réponse dans ce test."
6365,Harms Way,Harms Way,360,15/20,14.7/20,Microsoft Bongfish,08 Décembre 2010,Tir Course,+3 ans,http://www.jeuxvideo.com/jeux/xbox-360/00039324-harms-way.htm," En décembre 2010 débarquait sur XBLA un jeu entièrement gratuit : Harms Way. S'il fallait le décrire en quelques mots, cela donnerait à peu près ça : la rencontre entre un jeu de courses survolté et un tower defense à la première personne. Harms Way tente donc un mélange pour le moins original, reste à voir si cela fonctionne."
6366,Harold,per: Harold Han,PC,13/20,14/20,MoonSpider Studio,2ème trimestre 2013,Réflexion Plate-Forme Runner,Unknown,http://www.jeuxvideo.com/jeux/jeu-79609/,"Allier la frénésie diabolique d'un runner à la coordination millimétrée d'un Lemmings-like, c'est loin d'être une idée saugrenue et le jeu Harold se fait fort de nous en donner la preuve. Mais ici, pas question de mettre la pause pour préparer minutieusement le terrain de notre petit protégé. Car dans Harold, tout se déroule dans la panique la plus totale et ça se termine souvent mal, sauf quand on a les nerfs solides et une mémoire d'éléphant."
6367,Harry Potter : Coupe du Monde de Quidditch,Harry Potter: Quidditch World Cup,GBA,13/20,15.1/20,Electronic Arts,06 Novembre 2003,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61815/," Depuis la Rome Antique, les êtres humains ont toujours pris plaisir à contempler des affrontements dénués de toute moralité apparente. Que ce soit au sein d'une arène animée par les vociférations d'une foule avide de sensations compensatoires, ou d'un ring de boxe subissant le même rituel, la violence fascine. Harry Potter sombrera-t-il dans cette bestialité atavique ?"
6368,Harry Potter : Coupe du Monde de Quidditch,Harry Potter: Quidditch World Cup,Xbox,13/20,15.1/20,Electronic Arts,06 Novembre 2003,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61815/," Ce n'est pas EA qui lâcherait une licence juteuse comme celle d'Harry Potter, et comme le troisième film ne sortira pas cette année, il fallait bien trouver prétexte à sortir un nouveau soft dans l'univers d'Harry Potter. Choisir d'adapter le Quidditch, sport fétiche des apprentis sorciers, dans un jeu vidéo, était certes pertinent, mais sans doute un peu délicat."
6369,Harry Potter : Coupe du Monde de Quidditch,Harry Potter: Quidditch World Cup,PC,12/20,15.1/20,Electronic Arts,06 Novembre 2003,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61815/," A défaut de pouvoir nous proposer l'adaptation d'un nouveau volet de Harry Potter (le troisième film n'arrivera que l'année prochaine), Electronic Arts n'allait quand même pas se priver des services du sorcier binoclard pour cette fin d'année. Aussi, l'éditeur nous propose une simulation de Quidditch, ce sport très prisé des magiciens mais qui reste encore incompréhensible pour nous autres moldus."
6370,Harry Potter : Coupe du Monde de Quidditch,Harry Potter: Quidditch World Cup,PS2,13/20,15.1/20,Electronic Arts,06 Novembre 2003,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61815/," Ce n'est pas EA qui lâcherait une licence juteuse comme celle d'Harry Potter, et comme le troisième film ne sortira pas cette année, il fallait bien trouver prétexte à sortir un nouveau soft dans l'univers d'Harry Potter. Choisir d'adapter le Quidditch, sport fétiche des apprentis sorciers, dans un jeu vidéo, était certes pertinent, mais sans doute un peu délicat."
6371,Harry Potter : Coupe du Monde de Quidditch,Harry Potter: Quidditch World Cup,NGC,13/20,--/20,Electronic Arts,06 Novembre 2003,Sport,+3 ans,http://www.jeuxvideo.com/jeux/jeu-61815/," Ce n'est pas EA qui lâcherait une licence juteuse comme celle d'Harry Potter, et comme le troisième film ne sortira pas cette année, il fallait bien trouver prétexte à sortir un nouveau soft dans l'univers d'Harry Potter. Choisir d'adapter le Quidditch, sport fétiche des apprentis sorciers, dans un jeu vidéo, était certes pertinent, mais sans doute un peu délicat."
6372,Harry Potter à l'Ecole des Sorciers,Harry Potter and the Sorcerer's Stone,Xbox,13/20,16.2/20,Griptonite Games Warthog Argonaut Electronic Arts,15 Novembre 2001,Action Aventure RPG Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-58829/," Electronic Arts profite de l'accalmie causée cette année par l'absence d'une sortie cinéma dans l'univers d'Harry Potter pour nous proposer deux titres radicalement différents. Si Quidditch World Cup se focalise sur le sport fétiche des apprentis sorciers, Harry Potter A l'Ecole des Sorciers revisite le scénario du premier opus dans une adaptation inédite sur les consoles 128 bits. Dommage que ce titre fasse presque moins bonne impression que La Chambre des Secrets sorti l'an dernier."
6373,Harry Potter à l'Ecole des Sorciers,Harry Potter and the Sorcerer's Stone,NGC,13/20,--/20,Griptonite Games Warthog Argonaut Electronic Arts,15 Novembre 2001,Action Aventure RPG Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-58829/," Electronic Arts profite de l'accalmie causée cette année par l'absence d'une sortie cinéma dans l'univers d'Harry Potter pour nous proposer deux titres radicalement différents. Si Quidditch World Cup se focalise sur le sport fétiche des apprentis sorciers, Harry Potter A l'Ecole des Sorciers revisite le scénario du premier opus dans une adaptation inédite sur les consoles 128 bits. Dommage que ce titre fasse presque moins bonne impression que La Chambre des Secrets sorti l'an dernier."
6374,Harry Potter à l'Ecole des Sorciers,Harry Potter and the Sorcerer's Stone,PS2,13/20,16.2/20,Griptonite Games Warthog Argonaut Electronic Arts,15 Novembre 2001,Action Aventure RPG Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-58829/," Electronic Arts profite de l'accalmie causée cette année par l'absence d'une sortie cinéma dans l'univers d'Harry Potter pour nous proposer deux titres radicalement différents. Si Quidditch World Cup se focalise sur le sport fétiche des apprentis sorciers, Harry Potter A l'Ecole des Sorciers revisite le scénario du premier opus dans une adaptation inédite sur les consoles 128 bits. Dommage que ce titre fasse presque moins bonne impression que La Chambre des Secrets sorti l'an dernier."
6375,Harry Potter à l'Ecole des Sorciers,Harry Potter and the Sorcerer's Stone,GBA,15/20,16.2/20,Griptonite Games Warthog Argonaut Electronic Arts,15 Novembre 2001,Action Aventure RPG Plate-Forme,+3 ans,http://www.jeuxvideo.com/jeux/jeu-58829/," Le nouveau phénomène de la littérature pour la jeunesse lance une grande offensive sur le monde des jeux vidéo. Avec un titre sur pratiquement chaque support, plus un film qui ne devrait pas tarder à sortir, cette fin d'année est résolument placée sous le signe d'Harry Potter. Pour l'heure, j'ai la lourde mais néanmoins très agréable tâche de vous parler de la version GBA. Alors enfourchez votre Nimbus 2000, direction le collège Poudlard."
6376,Harry Potter à l'Ecole des Sorciers,Harry Potter and the Sorcerer's Stone,GB,15/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Décidément, J. R. Rowling a eu une idée géniale en créant l'histoire d'Harry Potter. Des millions de lecteurs dans le monde ne peuvent que renforcer la constatation que la série est incontournable. Aujourd'hui, les aventures bon enfant de l'apprenti sorcier sympathique arrivent sur Gameboy Color. Une fois de plus, Harry Potter ne nous déçoit pas. C'est mon petit frère qui va être content !"
6377,Harry Potter à l'Ecole des Sorciers,Harry Potter and the Sorcerer's Stone,PC,15/20,--/20,Unknown,Unknown,Unknown,Unknown,None," Si je vous parle des Moldus, de Quidditch et de choco-grenouilles, comment réagissez-vous ? Réponse A : à l'asile ! Réponse B : Harry Potter ! Si vous avez opté pour la deuxième réponse, alors peut-être êtes-vous prêt à entrer à Poudlard, l'école des sorciers. Reste à savoir dans quel état vous en ressortirez..."
6378,Harry Potter à l'Ecole des Sorciers,Harry Potter and the Sorcerer's Stone,PS1,15/20,--/20,Unknown,Unknown,Unknown,Unknown,None,Très clairement à l'attention du jeune public Harry Potter fait son entrée sur PSX pour nous faire vivre une aventure sympathique à l'école des sorciers de Poudlard. Le célèbre héros devra y apprendre à maîtriser la magie mais également à accroître ses pouvoirs avant d'affronter le terrible sorcier auquel le destin semble l'avoir lié.
6379,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,DS,10/20,16/20,Electronic Arts,28 Juin 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65326/," Bien déterminé à annoncer le retour de Lord Voldemort au plus grand nombre de joueurs possible, Electronic Arts a une nouvelle fois fait en sorte que toutes les consoles du marché accueillent la dernière adaptation des aventures pelliculées de Harry Potter. La DS n'a bien sûr pas été oubliée et nous livre aujourd'hui une petite cartouche pleine de bonnes intentions, mais hélas trop limitée."
6380,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,PSP,7/20,16/20,Electronic Arts,28 Juin 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65326/," En charge des adaptations de la licence Harry Potter depuis la sortie du premier long-métrage, Electronic Arts ne semble plus vraiment préoccupé par l'idée de nous surprendre. L'époque où l'on pouvait compter parfois trois ou quatre versions différentes selon les supports est maintenant révolue, puisque c'est la même conversion de l'Ordre du Phénix que l'on découvre sur presque toutes les machines concernées, portables exceptées. Sur PSP, le résultat n'est d'ailleurs qu'une simplification des versions PC et consoles de salon, une simplification ratée et calamiteuse que nous vous conseillons à tout prix d'éviter."
6381,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix,PC,11/20,16/20,Electronic Arts,28 Juin 2007,Action Aventure,+7 ans,http://www.jeuxvideo.com/jeux/jeu-65326/," Avis à tous les Moldus, Celui-Dont-Le-Front-Est-Zébré-Par-Un-Eclair s'apprête à revenir sur le devant de la scène pour une aventure que se partagent toutes les machines de la galaxie, conformément à la politique multi plates-formes d'Electronic Arts. Harry Potter Et L'Ordre Du Phénix, un jeu basé sur le film du même nom plus que sur le roman de la richissime J.K. Rowling, précède donc de quelques jours les nouvelles pérégrinations pelliculées du petit sorcier et vous propose pour la première fois d'explorer librement Poudlard."
